cluster_id,easting,northing,lon,lat,ba_ppm,rb_ppm,ba_rb_ratio,formation,lithology,max_period,min_period,is_genuine_ors
1,425000.0,1159000.0,-1.5493191187643753,60.31433961202842,1238.0244140625,78.04997253417969,15.861945,,,,,False
1,425000.0,1158500.0,-1.5493809159164216,60.30985046487893,1239.69091796875,76.59217071533203,16.18561,"UNNAMED METAMORPHIC ROCKS, PRE-CALEDONIAN TO CALEDONIAN",GNEISSOSE PSAMMITE AND GNEISSOSE SEMIPELITE,,SILURIAN,False
1,426000.0,1158500.0,-1.5312842296896694,60.30978792430658,1141.89794921875,80.63422393798828,14.161455,"UNNAMED METAMORPHIC ROCKS, PRE-CALEDONIAN TO CALEDONIAN",GNEISSOSE PSAMMITE AND GNEISSOSE SEMIPELITE,,SILURIAN,False
1,422000.0,1158000.0,-1.6037257658442163,60.30553412421103,1082.1102294921875,67.98271942138672,15.917431,"UNNAMED METAMORPHIC ROCKS, PRE-CALEDONIAN TO CALEDONIAN",GNEISSOSE PSAMMITE AND GNEISSOSE SEMIPELITE,,SILURIAN,False
1,425000.0,1158000.0,-1.5494426933540384,60.30536131463965,1242.90576171875,74.34283447265625,16.718569,"UNNAMED METAMORPHIC ROCKS, PRE-CALEDONIAN TO CALEDONIAN",GNEISSOSE PSAMMITE AND GNEISSOSE SEMIPELITE,,SILURIAN,False
1,425500.0,1158000.0,-1.54039558126621,60.30533035789391,1147.0576171875,76.36309051513672,15.0211,"UNNAMED METAMORPHIC ROCKS, PRE-CALEDONIAN TO CALEDONIAN",GNEISSOSE PSAMMITE AND GNEISSOSE SEMIPELITE,,SILURIAN,False
1,426000.0,1158000.0,-1.53134848927979,60.3052987853979,1144.3743896484375,78.58880615234375,14.561544,"UNNAMED METAMORPHIC ROCKS, PRE-CALEDONIAN TO CALEDONIAN",GNEISSOSE PSAMMITE AND GNEISSOSE SEMIPELITE,,SILURIAN,False
1,421500.0,1157500.0,-1.6128260802578651,60.301071581169985,1110.8275146484375,70.84671783447266,15.679308,"UNNAMED METAMORPHIC ROCKS, PRE-CALEDONIAN TO CALEDONIAN",GNEISSOSE PSAMMITE AND GNEISSOSE SEMIPELITE,,SILURIAN,False
1,422000.0,1157500.0,-1.6037800792867087,60.301044939575824,1238.3521728515625,66.39214324951172,18.65209,"UNNAMED METAMORPHIC ROCKS, PRE-CALEDONIAN TO CALEDONIAN",GNEISSOSE PSAMMITE AND GNEISSOSE SEMIPELITE,,SILURIAN,False
1,423500.0,1157500.0,-1.5766421818924745,60.300961320864175,1345.1700439453125,67.36300659179688,19.968973,"UNNAMED METAMORPHIC ROCKS, PRE-CALEDONIAN TO CALEDONIAN",GNEISSOSE PSAMMITE AND GNEISSOSE SEMIPELITE,,SILURIAN,False
1,425000.0,1157500.0,-1.549504451086091,60.30087216131022,1224.9708251953125,69.57406616210938,17.606716,,,,,False
1,425500.0,1157500.0,-1.5404585796832155,60.300841210172486,1151.5230712890625,73.14283752441406,15.743484,"UNNAMED METAMORPHIC ROCKS, PRE-CALEDONIAN TO CALEDONIAN",GNEISSOSE PSAMMITE AND GNEISSOSE SEMIPELITE,,SILURIAN,False
1,426000.0,1157500.0,-1.5314127283727101,60.30080964339601,1148.323486328125,75.55503845214844,15.1985035,"UNNAMED METAMORPHIC ROCKS, PRE-CALEDONIAN TO CALEDONIAN",GNEISSOSE PSAMMITE AND GNEISSOSE SEMIPELITE,,SILURIAN,False
1,421000.0,1157000.0,-1.6219239135731254,60.296608409848034,1107.754638671875,72.510009765625,15.277265,"UNNAMED METAMORPHIC ROCKS, PRE-CALEDONIAN TO CALEDONIAN",GNEISSOSE PSAMMITE AND GNEISSOSE SEMIPELITE,,SILURIAN,False
1,421500.0,1157000.0,-1.612879136030062,60.29658238862702,1111.0072021484375,70.43586730957031,15.773316,"UNNAMED METAMORPHIC ROCKS, PRE-CALEDONIAN TO CALEDONIAN",GNEISSOSE PSAMMITE AND GNEISSOSE SEMIPELITE,,SILURIAN,False
1,422000.0,1157000.0,-1.6038343754064663,60.29655575185877,1239.0548095703125,65.96768188476562,18.782755,MIDDLE OLD RED SANDSTONE (UNDIFFERENTIATED),"CONGLOMERATE, SANDSTONE, SILTSTONE AND MUDSTONE",DEVONIAN,DEVONIAN,True
1,423500.0,1157000.0,-1.5767001990074763,60.29647214829396,1530.9296875,63.973514556884766,23.93068,"UNNAMED METAMORPHIC ROCKS, PRE-CALEDONIAN TO CALEDONIAN",GNEISSOSE PSAMMITE AND GNEISSOSE SEMIPELITE,,SILURIAN,False
1,424500.0,1157000.0,-1.5586108399228777,60.296413334891675,1360.4510498046875,66.10295867919922,20.58079,"UNNAMED METAMORPHIC ROCKS, PRE-CALEDONIAN TO CALEDONIAN",GNEISSOSE PSAMMITE AND GNEISSOSE SEMIPELITE,,SILURIAN,False
1,427000.0,1157000.0,-1.5133877867490306,60.296255529612786,1078.0284423828125,78.10070037841797,13.803058,MIDDLE OLD RED SANDSTONE (UNDIFFERENTIATED),"CONGLOMERATE, SANDSTONE, SILTSTONE AND MUDSTONE",DEVONIAN,DEVONIAN,True
1,421000.0,1156500.0,-1.6219757124662117,60.29211920951118,1108.1102294921875,72.29369354248047,15.327896,MIDDLE OLD RED SANDSTONE (UNDIFFERENTIATED),"CONGLOMERATE, SANDSTONE, SILTSTONE AND MUDSTONE",DEVONIAN,DEVONIAN,True
1,421500.0,1156500.0,-1.6129321748828138,60.2920931930033,1112.1824951171875,69.83561706542969,15.92572,MIDDLE OLD RED SANDSTONE (UNDIFFERENTIATED),"CONGLOMERATE, SANDSTONE, SILTSTONE AND MUDSTONE",DEVONIAN,DEVONIAN,True
1,422000.0,1156500.0,-1.6038886542112791,60.292066561059656,1230.631103515625,67.55152893066406,18.217665,MIDDLE OLD RED SANDSTONE (UNDIFFERENTIATED),"CONGLOMERATE, SANDSTONE, SILTSTONE AND MUDSTONE",DEVONIAN,DEVONIAN,True
1,422500.0,1156500.0,-1.59484515084693,60.29203931368257,1349.828857421875,64.60997009277344,20.891958,MIDDLE OLD RED SANDSTONE (UNDIFFERENTIATED),"CONGLOMERATE, SANDSTONE, SILTSTONE AND MUDSTONE",DEVONIAN,DEVONIAN,True
1,423000.0,1156500.0,-1.5858016651850857,60.29201145087439,1531.522216796875,61.564369201660156,24.876762,MIDDLE OLD RED SANDSTONE (UNDIFFERENTIATED),"CONGLOMERATE, SANDSTONE, SILTSTONE AND MUDSTONE",DEVONIAN,DEVONIAN,True
