cluster_id,n_cells,area_km2,centroid_lat,centroid_lon,mean_ba,max_ba,mean_ratio,pct_genuine_ors,dominant_period,dominant_formation
332,3046,761.5,53.14548238580168,-1.6705996136753736,5945.0547,49180.312,83.59772,0.0,CARBONIFEROUS,DINANTIAN ROCKS (UNDIFFERENTIATED)
238,1359,339.75,54.935458181799056,-1.5329543293106764,2340.7102,4218.1553,28.376463,0.0,CARBONIFEROUS,PENNINE MIDDLE COAL MEASURES FORMATION AND SOUTH WALES MIDDLE COAL MEASURES FORMATION (UNDIFFERENTIATED)
312,1308,327.0,53.870949254467725,-1.4031261642529225,4990.9414,21016.395,77.316605,0.0,PERMIAN,ZECHSTEIN GROUP
354,1293,323.25,53.00798219508782,-2.6815280870255376,2929.192,12056.6,39.451717,0.0,TRIASSIC,TRIASSIC ROCKS (UNDIFFERENTIATED)
301,1197,299.25,54.395760518337035,-1.9116647559141344,2971.4507,7817.4463,44.686134,0.0,CARBONIFEROUS,YOREDALE GROUP
144,976,244.0,56.36138207382764,-5.413537368846684,1283.5914,2137.7305,21.831343,1.0245901639344261,SILURIAN,"UNNAMED EXTRUSIVE ROCKS, SILURIAN TO DEVONIAN"
3,812,203.0,58.51986758659718,-4.89811122612034,1263.1901,2279.8638,17.55047,0.0,CAMBRIAN,LEWISIAN COMPLEX
213,680,170.0,55.495309704891994,-4.146648165297096,1628.1356,4004.9336,24.120916,12.647058823529411,CARBONIFEROUS,INVERCLYDE GROUP
346,645,161.25,53.13559695033398,-1.2172052655971064,1473.7169,2197.229,20.201962,0.0,PERMIAN,TRIASSIC ROCKS (UNDIFFERENTIATED)
310,636,159.0,54.10217322754555,-1.9736281108378635,2639.5044,7948.837,38.869778,0.0,CARBONIFEROUS,MILLSTONE GRIT GROUP [SEE ALSO MIGR]
66,572,143.0,57.22419117684756,-5.762787705404361,1489.4779,3489.3582,21.387238,0.0,CAMBRIAN,SLEAT GROUP
379,482,120.5,52.65396142612806,-2.836384161497759,2476.7698,5737.836,28.248756,0.0,CARBONIFEROUS,WARWICKSHIRE GROUP
405,471,117.75,51.43943634868486,-2.7462741310421137,1388.3081,1654.0717,16.477938,6.1571125265392785,TRIASSIC,TRIASSIC ROCKS (UNDIFFERENTIATED)
355,390,97.5,53.09542311049428,-2.2594445177440208,1934.0929,4691.1685,29.960663,0.0,TRIASSIC,TRIASSIC ROCKS (UNDIFFERENTIATED)
404,385,96.25,51.49653384838319,-3.5285812849612626,2485.9495,6219.482,31.623037,0.0,TRIASSIC,DINANTIAN ROCKS (UNDIFFERENTIATED)
269,364,91.0,54.72649059595504,-3.116090490486917,2305.5327,4206.4097,24.345982,0.0,CARBONIFEROUS,DINANTIAN ROCKS (UNDIFFERENTIATED)
44,321,80.25,57.487230976535756,-3.9605941794954203,1430.8871,1824.4149,16.604609,22.741433021806852,DEVONIAN,MOINE SUPERGROUP
334,319,79.75,53.30985818089573,-2.228132196959547,3822.3472,7540.3384,55.387363,0.0,TRIASSIC,TRIASSIC ROCKS (UNDIFFERENTIATED)
371,295,73.75,52.834315594231775,-1.5142191035455477,2697.8027,3775.0933,32.38415,0.0,TRIASSIC,TRIASSIC ROCKS (UNDIFFERENTIATED)
198,273,68.25,55.72875162473354,-3.5294402536995015,1820.0703,3996.6602,36.17188,0.3663003663003663,CARBONIFEROUS,INVERCLYDE GROUP
27,253,63.25,57.96323354285205,-4.383298810338381,1616.5538,2366.6377,17.473358,0.0,SILURIAN,MORAR GROUP
276,251,62.75,54.656596342765546,-2.499711365461379,2557.105,4220.645,29.69058,0.0,CARBONIFEROUS,YOREDALE GROUP
143,245,61.25,56.444877116846875,-5.09953104007929,1184.4241,1464.8047,19.584732,0.0,SILURIAN,"UNNAMED IGNEOUS INTRUSION, LATE SILURIAN TO EARLY DEVONIAN"
187,243,60.75,55.81687785353267,-4.745126824434116,2251.5261,4252.086,28.19588,0.0,CARBONIFEROUS,"UNNAMED EXTRUSIVE ROCKS, DINANTIAN"
337,231,57.75,53.27242498410765,-1.3008475580306935,1463.0509,1619.2781,20.203472,0.0,CARBONIFEROUS,PENNINE MIDDLE COAL MEASURES FORMATION AND SOUTH WALES MIDDLE COAL MEASURES FORMATION (UNDIFFERENTIATED)
383,206,51.5,52.56789955928737,-2.9973251709682818,3104.42,10175.894,34.014206,0.0,ORDOVICIAN,LLANVIRN ROCKS (UNDIFFERENTIATED)
273,202,50.5,54.668917546910485,-2.2672175628223874,2208.9006,4337.566,29.144371,0.0,CARBONIFEROUS,YOREDALE GROUP
9,202,50.5,58.42899642270372,-4.359447338429062,1856.3804,3232.4194,22.692272,1.4851485148514851,ORDOVICIAN,LEWISIAN COMPLEX
267,186,46.5,54.7397282409621,-1.3835032280005548,1359.7595,1933.1033,18.950588,0.0,PERMIAN,ZECHSTEIN GROUP
280,181,45.25,54.496779114168746,-7.042924051214,1366.2191,2017.1125,23.9186,64.64088397790056,DEVONIAN,FINTONA GROUP
253,178,44.5,54.74309967754722,-6.694146251067795,1333.4116,1845.9087,19.187557,0.0,CARBONIFEROUS,TYRONE GROUP
162,177,44.25,56.175719528972756,-3.853790384579137,1595.2618,2419.3862,23.081251,29.943502824858758,SILURIAN,"UNNAMED EXTRUSIVE ROCKS, SILURIAN TO DEVONIAN"
294,171,42.75,54.442446612726485,-7.277460912972728,1610.325,2946.9106,22.262897,71.34502923976608,DEVONIAN,FINTONA GROUP
15,170,42.5,58.33010339001024,-3.26362063950672,1452.957,1577.241,18.221195,98.23529411764706,DEVONIAN,MIDDLE OLD RED SANDSTONE (UNDIFFERENTIATED)
81,170,42.5,57.05968206403852,-5.958667326402832,1407.4033,1873.6705,30.35023,0.0,UNDIFF,MESOPROTEROZOIC ROCKS (UNDIFFERENTIATED)
362,167,41.75,52.93152098186199,-2.448240420737398,2287.922,3420.0835,29.295132,0.0,TRIASSIC,TRIASSIC ROCKS (UNDIFFERENTIATED)
178,166,41.5,55.92721123672688,-3.055699412578067,1195.5602,1265.7261,21.376925,0.0,CARBONIFEROUS,SCOTTISH COAL MEASURES GROUP
131,164,41.0,56.55597773264178,-5.691975763059915,1309.5514,1720.5258,17.539637,0.0,SILURIAN,GLENFINNAN GROUP
256,158,39.5,54.692655965697654,-7.447505721430095,1535.6748,1877.7094,16.710869,0.0,CARBONIFEROUS,ARGYLL GROUP
307,156,39.0,54.22731598833489,-1.4423139097875186,2255.9775,3654.1418,23.843414,0.0,TRIASSIC,TRIASSIC ROCKS (UNDIFFERENTIATED)
403,155,38.75,51.5335663908035,-3.2176749495623675,1376.4573,1584.9274,16.88889,47.74193548387097,DEVONIAN,LOWER DEVONIAN ROCKS (UNDIFFERENTIATED)
297,147,36.75,54.530433407656055,-2.2835469564263544,1633.1726,2521.821,21.13723,0.0,CARBONIFEROUS,YOREDALE GROUP
7,145,36.25,58.49731394817261,-4.522622928285343,1155.4944,1288.9637,15.589369,0.0,NONE,MORAR GROUP
316,142,35.5,53.906756685709105,-2.0360529636488423,1375.6519,1981.6282,18.737558,0.0,CARBONIFEROUS,MILLSTONE GRIT GROUP [SEE ALSO MIGR]
380,142,35.5,52.65667656456222,-2.4029299826433723,1799.5519,1921.7239,22.864254,0.0,CARBONIFEROUS,WARWICKSHIRE GROUP
290,141,35.25,54.5952691533785,-2.182184483356231,2073.215,4405.383,22.293194,0.0,CARBONIFEROUS,YOREDALE GROUP
392,140,35.0,51.9597583350499,-4.624664870195779,1930.0319,2908.4353,19.303934,0.0,ORDOVICIAN,ASHGILL ROCKS (UNDIFFERENTIATED)
239,139,34.75,54.998957462825516,-2.0977426180049386,2114.3025,2635.5767,32.779305,0.0,CARBONIFEROUS,YOREDALE GROUP
395,138,34.5,51.83982429101932,-5.009247979258932,2285.3533,4009.1194,23.421276,0.0,ORDOVICIAN,CARADOC ROCKS (UNDIFFERENTIATED)
221,137,34.25,55.393198103294964,-4.678185747959673,1460.5874,2205.3044,21.07362,63.503649635036496,SILURIAN,LANARK GROUP
140,136,34.0,56.483783821757264,-5.350423925088413,1527.2582,2417.971,19.878738,1.4705882352941175,SILURIAN,"UNNAMED EXTRUSIVE ROCKS, SILURIAN TO DEVONIAN"
